Account Number,Meter ID,Service Address,Billing Period Start,Billing Period End,Consumption (kWh),Peak Demand (kW),Tariff Code,Total Charge (GBP),Grid Region,Meter Type
ACC-00234,MTR-8821-A,Unit 4 Logistics Park Bristol BS11 9YG,01/02/2024,29/02/2024,48320,187.5,HH-Industrial,9847.23,South West,HH
ACC-00234,MTR-8821-B,Unit 4 Logistics Park Bristol BS11 9YG,01/02/2024,29/02/2024,12100,45.2,SME-Flex,2341.10,South West,NHH
ACC-00891,MTR-3301-A,Tower House 14 Canary Wharf London E14 5AB,17/01/2024,16/02/2024,31200,210.0,HH-Industrial,6788.44,London,HH
ACC-00891,MTR-3301-B,Tower House 14 Canary Wharf London E14 5AB,17/01/2024,16/02/2024,8750,,SME-Standard,1820.00,London,NHH
ACC-00234,MTR-8821-A,Unit 4 Logistics Park Bristol BS11 9YG,01/03/2024,31/03/2024,51840,201.3,HH-Industrial,10544.67,South West,HH
ACC-00234,MTR-8821-B,Unit 4 Logistics Park Bristol BS11 9YG,01/03/2024,31/03/2024,13300,48.9,SME-Flex,2574.80,South West,NHH
ACC-00891,MTR-3301-A,Tower House 14 Canary Wharf London E14 5AB,17/02/2024,17/03/2024,29800,198.4,HH-Industrial,6455.32,London,HH
ACC-00891,MTR-3301-B,Tower House 14 Canary Wharf London E14 5AB,17/02/2024,17/03/2024,9100,,SME-Standard,1890.00,London,NHH
ACC-01122,MTR-7745-A,Unit 12 Manchester Business Park M22 5PR,01/01/2024,31/01/2024,22400,95.0,SME-Flex,4812.00,North West,NHH
ACC-01122,MTR-7745-A,Unit 12 Manchester Business Park M22 5PR,01/02/2024,29/02/2024,19800,88.3,SME-Flex,4267.80,North West,NHH
ACC-01122,MTR-7745-A,Unit 12 Manchester Business Park M22 5PR,01/03/2024,31/03/2024,24100,102.7,SME-Flex,5189.54,North West,NHH
ACC-00567,MTR-2209-A,Retail Unit 3 Edinburgh EH1 1YZ,01/01/2024,31/01/2024,4200,,Retail-Standard,934.56,Scotland,NHH
ACC-00567,MTR-2209-A,Retail Unit 3 Edinburgh EH1 1YZ,01/02/2024,29/02/2024,3980,,Retail-Standard,885.54,Scotland,NHH